"country_name","country_code","indicator_name","indicator_code","debt"
"Argentina","ARG","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","19649264726.6"
"Argentina","ARG","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","1826898604.5"
"Argentina","ARG","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","1315829037.5"
"Argentina","ARG","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","3057938097.1"
"Argentina","ARG","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","3623344044.1"
"Argentina","ARG","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","2248070611.7"
"Argentina","ARG","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","22707202823.7"
"Argentina","ARG","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","5450242648.6"
"Argentina","ARG","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","3563899649.2"
"Argentina","ARG","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","32084255944.9"
"Argentina","ARG","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","7550415394.3"
"Armenia","ARM","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","262661074.1"
"Armenia","ARM","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","501534808.1"
"Armenia","ARM","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","140195104.6"
"Armenia","ARM","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","70348142.9"
"Armenia","ARM","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","33811174.5"
"Armenia","ARM","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","200987327.8"
"Armenia","ARM","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","192312931.2"
"Armenia","ARM","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","136698818.6"
"Armenia","ARM","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","341182432.4"
"Armenia","ARM","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","262661074.1"
"Armenia","ARM","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","170509993.1"
"Armenia","ARM","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","1837013009.8"
"Armenia","ARM","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","1490741280.0"
"Azerbaijan","AZE","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","265835498.2"
"Azerbaijan","AZE","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","706567892.8"
"Azerbaijan","AZE","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","71862714.5"
"Azerbaijan","AZE","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","63233875.6"
"Azerbaijan","AZE","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","22559853.4"
"Azerbaijan","AZE","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","688431450.5"
"Azerbaijan","AZE","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","202601622.6"
"Azerbaijan","AZE","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","320260251.9"
"Azerbaijan","AZE","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","760294165.0"
"Azerbaijan","AZE","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","265835498.2"
"Azerbaijan","AZE","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","342820105.3"
"Azerbaijan","AZE","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","2983560641.7"
"Azerbaijan","AZE","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","183676234.0"
"Bangladesh","BGD","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","13689523542.1"
"Bangladesh","BGD","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","3039193206.8"
"Bangladesh","BGD","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","1242990827.3"
"Bangladesh","BGD","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","8884908090.0"
"Bangladesh","BGD","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","963311300.0"
"Bangladesh","BGD","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","1986148582.3"
"Bangladesh","BGD","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","4804615452.1"
"Bangladesh","BGD","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","1113219906.8"
"Bangladesh","BGD","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","3229139409.6"
"Bangladesh","BGD","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","13689523542.1"
"Bangladesh","BGD","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","2076531206.8"
"Bangladesh","BGD","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","4901002582.3"
"Bangladesh","BGD","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","1051248000.0"
"Belarus","BLR","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","1320605289.1"
"Belarus","BLR","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","1542432500.5"
"Belarus","BLR","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","2059457750.5"
"Belarus","BLR","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","1130613960.2"
"Belarus","BLR","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","849819832.5"
"Belarus","BLR","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","569094621.8"
"Belarus","BLR","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","189991328.9"
"Belarus","BLR","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","169875110.0"
"Belarus","BLR","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","2628552372.3"
"Belarus","BLR","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","1320605289.1"
"Belarus","BLR","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","1019694942.5"
"Belarus","BLR","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","4549211072.3"
"Belarus","BLR","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","1916084000.0"
"Belize","BLZ","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","138763091.1"
"Belize","BLZ","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","57054681.5"
"Belize","BLZ","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","78227071.1"
"Belize","BLZ","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","56387596.2"
"Belize","BLZ","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","14248054.8"
"Belize","BLZ","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","43548019.1"
"Belize","BLZ","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","82375494.9"
"Belize","BLZ","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","23421626.7"
"Belize","BLZ","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","121775090.2"
"Belize","BLZ","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","138763091.1"
"Belize","BLZ","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","37669681.5"
"Belize","BLZ","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","154337964.4"
"Belize","BLZ","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","25103250.0"
"Benin","BEN","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","1997657095.6"
"Benin","BEN","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","272897408.8"
