ln_ing_lab,lngasfam,nucleo,age_squared,sch,niv_edu_g_Secundaria completa,niv_edu_g_Secundaria incompleta,niv_edu_g_Superior completa,niv_edu_g_Superior incompleta,pobreza_pobre extremo,pobreza_pobre no extremo,jefe_Yes,urban_urbano,ramactsec_Sector Secundario,ramactsec_Sector Terciario,male_Mujer
7.192182064056396,8.031826972961426,1,3481,11,True,False,False,False,False,False,True,True,False,True,False
4.351352691650391,8.031826972961426,1,3136,11,True,False,False,False,False,False,False,True,False,True,True
6.285532474517822,8.031826972961426,2,1296,10,False,True,False,False,False,False,True,True,False,True,False
7.127225399017334,8.031826972961426,3,576,14,False,False,True,False,False,False,True,True,False,True,False
7.383005619049072,8.086292266845703,1,1225,14,False,False,True,False,False,False,True,True,True,False,False
6.364463806152344,8.086292266845703,1,1024,11,True,False,False,False,False,False,False,True,False,True,True
7.583290100097656,8.488870620727539,1,3481,17,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,8.488870620727539,1,2601,18,False,False,True,False,False,False,False,True,False,True,True
7.594800472259521,8.548078536987305,1,2704,11,True,False,False,False,False,False,True,True,False,True,True
6.644440650939941,8.548078536987305,1,676,16,False,False,True,False,False,False,False,True,False,True,True
5.22664213180542,8.548078536987305,2,784,17,False,False,True,False,False,False,True,True,False,True,True
6.902156352996826,8.232756614685059,1,3481,15,False,False,True,False,False,False,True,True,False,True,False
7.067675113677979,8.232756614685059,1,3481,16,False,False,True,False,False,False,False,True,False,True,True
7.681521892547607,8.232756614685059,1,1089,17,False,False,True,False,False,False,False,True,False,True,False
7.655075073242188,7.754183769226074,1,1225,13,False,False,False,True,False,False,True,True,False,True,False
6.434585199767968,7.754183769226074,1,961,16,False,False,True,False,False,False,False,True,False,True,True
6.30444860458374,8.150691032409668,1,5776,16,False,False,True,False,False,False,True,True,False,True,False
6.20909309387207,8.150691032409668,1,576,16,False,False,True,False,False,False,False,True,False,True,False
7.461783885955811,7.858869552612305,0,3364,16,False,False,True,False,False,False,True,True,False,True,False
6.78568172454834,7.858869552612305,1,1521,11,True,False,False,False,False,False,True,True,False,True,False
6.644440650939941,7.683476448059082,1,2601,14,False,False,True,False,False,False,True,True,False,True,False
7.735105514526367,7.683476448059082,1,2209,14,False,False,True,False,False,False,False,True,False,True,True
6.586056709289551,8.26346492767334,1,1764,14,False,False,True,False,False,False,True,True,False,True,False
